received_at,dev_eui,device_name,application_id,f_port,f_cnt,temperature,humidity,battery,eco2,tvoc,rssi,snr,gateway_id
﻿id,received_at,dev_eui,device_name,temperature,humidity,battery,eco2,tvoc,rssi,snr,gateway_id
1010,2026-05-02T09:56:06.071098000+00:00,dc87888964b32cea,Node1,37.35,57.13,3.626,0.0,0.0,-69,8.31,0016c001f156c3ad
3010,2026-05-02T09:55:56.581419000+00:00,dc87888964b32cec,AirNode2,28.77,33.83,3.745,1875.0,445.7,-77,7.8,0016c001f156c3ab
2010,2026-05-02T09:55:27.177010000+00:00,dc87888964b32ceb,AirNode1,33.36,74.41,3.736,616.1,74.8,-78,2.73,0016c001f156c3ad
3009,2026-05-02T09:51:25.164092000+00:00,dc87888964b32cec,AirNode2,29.44,34.24,3.745,1834.2,469.0,-84,6.71,0016c001f156c3ad
2009,2026-05-02T09:51:19.095395000+00:00,dc87888964b32ceb,AirNode1,33.04,75.01,3.737,597.8,88.4,-66,5.7,0016c001f156c3ab
1009,2026-05-02T09:51:03.508567000+00:00,dc87888964b32cea,Node1,37.47,59.25,3.626,0.0,0.0,-80,9.06,0016c001f156c3ab
1008,2026-05-02T09:47:22.543395000+00:00,dc87888964b32cea,Node1,36.13,57.65,3.627,0.0,0.0,-76,6.7,0016c001f156c3ab
3008,2026-05-02T09:47:01.100053000+00:00,dc87888964b32cec,AirNode2,29.09,34.31,3.745,1835.9,483.6,-76,6.9,0016c001f156c3ac
2008,2026-05-02T09:46:41.807862000+00:00,dc87888964b32ceb,AirNode1,33.26,74.87,3.737,635.1,84.4,-74,7.32,0016c001f156c3ab
3007,2026-05-02T09:42:31.400201000+00:00,dc87888964b32cec,AirNode2,29.35,35.37,3.746,1860.8,450.2,-78,6.27,0016c001f156c3ac
2007,2026-05-02T09:42:31.107474000+00:00,dc87888964b32ceb,AirNode1,33.83,74.28,3.737,617.3,88.0,-79,8.01,0016c001f156c3ad
1007,2026-05-02T09:42:23.945061000+00:00,dc87888964b32cea,Node1,36.08,57.89,3.627,0.0,0.0,-72,3.21,0016c001f156c3ab
1006,2026-05-02T09:38:43.333421000+00:00,dc87888964b32cea,Node1,35.77,58.06,3.627,0.0,0.0,-78,7.09,0016c001f156c3ad
3006,2026-05-02T09:38:05.323949000+00:00,dc87888964b32cec,AirNode2,29.33,36.08,3.746,1857.0,473.2,-76,8.55,0016c001f156c3ad
2006,2026-05-02T09:37:54.203693000+00:00,dc87888964b32ceb,AirNode1,33.78,73.47,3.738,626.7,87.7,-68,3.91,0016c001f156c3ab
1005,2026-05-02T09:34:31.866303000+00:00,dc87888964b32cea,Node1,36.29,57.44,3.627,0.0,0.0,-89,6.04,0016c001f156c3ad
3005,2026-05-02T09:34:22.133268000+00:00,dc87888964b32cec,AirNode2,28.78,37.0,3.746,1806.6,472.3,-82,5.17,0016c001f156c3ac
2005,2026-05-02T09:34:14.595939000+00:00,dc87888964b32ceb,AirNode1,33.75,72.79,3.738,638.3,95.0,-72,5.07,0016c001f156c3ad
2004,2026-05-02T09:30:09.558170000+00:00,dc87888964b32ceb,AirNode1,33.67,71.88,3.738,623.2,88.1,-78,5.46,0016c001f156c3ad
3004,2026-05-02T09:29:51.130959000+00:00,dc87888964b32cec,AirNode2,28.64,35.29,3.747,1800.5,479.3,-60,7.36,0016c001f156c3ab
1004,2026-05-02T09:29:30.687682000+00:00,dc87888964b32cea,Node1,35.66,56.76,3.627,0.0,0.0,-71,5.76,0016c001f156c3ac
3003,2026-05-02T09:25:49.383058000+00:00,dc87888964b32cec,AirNode2,29.02,34.1,3.747,1860.5,484.0,-71,7.02,0016c001f156c3ab
2003,2026-05-02T09:25:49.272981000+00:00,dc87888964b32ceb,AirNode1,33.03,73.02,3.739,660.4,93.3,-78,5.28,0016c001f156c3ab
1003,2026-05-02T09:25:04.372492000+00:00,dc87888964b32cea,Node1,35.26,58.74,3.628,0.0,0.0,-65,3.75,0016c001f156c3ab
2002,2026-05-02T09:21:23.530022000+00:00,dc87888964b32ceb,AirNode1,33.3,73.1,3.739,665.6,91.9,-76,4.89,0016c001f156c3ac
1002,2026-05-02T09:20:58.014514000+00:00,dc87888964b32cea,Node1,35.64,57.75,3.628,0.0,0.0,-71,4.6,0016c001f156c3ac
3002,2026-05-02T09:20:50.494211000+00:00,dc87888964b32cec,AirNode2,29.33,36.09,3.747,1895.9,486.1,-68,4.67,0016c001f156c3ac
1001,2026-05-02T09:17:11.452591000+00:00,dc87888964b32cea,Node1,35.38,58.78,3.628,0.0,0.0,-72,6.1,0016c001f156c3ac
2001,2026-05-02T09:17:09.125947000+00:00,dc87888964b32ceb,AirNode1,33.18,71.73,3.739,655.3,78.8,-74,3.72,0016c001f156c3ab
3001,2026-05-02T09:16:42.354106000+00:00,dc87888964b32cec,AirNode2,28.75,36.03,3.747,1867.6,485.0,-76,4.99,0016c001f156c3ac
1000,2026-05-02T09:12:55.939960000+00:00,dc87888964b32cea,Node1,35.37,59.77,3.628,0.0,0.0,-79,5.03,0016c001f156c3ad
2000,2026-05-02T09:12:45.443627000+00:00,dc87888964b32ceb,AirNode1,33.33,71.76,3.739,626.7,78.3,-79,7.44,0016c001f156c3ad
3000,2026-05-02T09:12:39.159483000+00:00,dc87888964b32cec,AirNode2,28.96,35.49,3.748,1841.3,504.7,-76,5.97,0016c001f156c3ac
2999,2026-05-02T09:08:12.837872000+00:00,dc87888964b32cec,AirNode2,28.12,36.47,3.748,1885.4,510.5,-79,3.09,0016c001f156c3ac
1999,2026-05-02T09:07:57.161261000+00:00,dc87888964b32ceb,AirNode1,32.82,71.13,3.739,623.7,55.9,-67,5.54,0016c001f156c3ac
999,2026-05-02T09:07:47.813423000+00:00,dc87888964b32cea,Node1,35.95,58.2,3.628,0.0,0.0,-68,6.07,0016c001f156c3ad
1998,2026-05-02T09:04:03.422253000+00:00,dc87888964b32ceb,AirNode1,32.65,71.38,3.74,582.0,55.7,-64,5.43,0016c001f156c3ab
